url,label
http://www.lynnskitchenadventures.com/2009/04/homemade-enchilada-sauce.html,0.9948426
http://lolpics.se/18552-stun-grenade-ar,0.1156201
http://www.xcelerationfitness.com/treadmills.html,0.5453316
http://www.bloomberg.com/news/2012-02-06/syria-s-assad-deploys-tactics-of-father-to-crush-revolt-threatening-reign.html,0.061739396
http://www.wired.com/gadgetlab/2011/12/stem-turns-lemons-and-limes-into-juicy-atomizers/,0.38241062
"http://www.latimes.com/health/boostershots/la-heb-fat-tax-denmark-20111013,0,2603132.story",0.14831711
http://www.howlifeworks.com/a/a?AG_ID=1186&cid=7340ci,0.31721756
http://romancingthestoveblog.wordpress.com/2010/01/13/sweet-potato-ravioli-with-lemon-sage-brown-butter-sauce/,0.9653087
http://www.funniez.net/Funny-Pictures/turn-men-down.html,0.108009435
http://youfellasleepwatchingadvd.com/,0.5292047
http://www.marthastewart.com/281827/lighter-sesame-noodles,0.9596968
http://www.gourmetsleuth.com/,0.8686364
http://news.bbc.co.uk/2/hi/world/europe/8134461.stm,0.06937612
http://www.likebunny.com/pics/,0.89566535
http://www.geek.com/articles/chips/aist-creates-transparent-sheet-that-can-become-a-mirror-in-seconds-20130212/,0.05549566
http://www.marthastewart.com/photogallery/halloween-cakes-and-dessert-recipes,0.3792029
http://metronews.ca/food/108631/give-new-life-to-old-favourites-by-discovering-their-fruitier-side/,0.9366465
http://smittenkitchen.com/2011/04/french-onion-soup,0.97081137
http://www.cinnamonspiceandeverythingnice.com/2009/04/oatmeal-cookie-candy-bar-squares.html,0.960659
http://harrisonfjord.com/,0.020079786
http://www.bettyconfidential.com/ar/ld/a/8-Delicious-Ways-to-Eat-More-Vegetables.html,0.96800685
http://www.videojug.com/film/how-to-make-egg-fried-rice,0.98987913
http://www.ivillage.com/szechuan-chicken-noodles-1/3-b-74523,0.9941051
http://www.usatoday.com/media/cinematic/gallery/1977201/the-top-50-nfl-free-agents-of-2013/,0.03397195
"http://www.instyle.com/instyle/package/falltrends/photos/0,,20620033_20618895_21196957,00.html?xid-stumblefall",0.0057306704
http://www.micromemes.com/2011/11/09/amazing-smoke-skillz/,0.040455487
http://edition.cnn.com/2013/03/13/health/fda-antibiotic-heart-warning/index.html,0.028768385
http://www.canyoustayfordinner.com/2011/10/03/slow-cooked-sweet-potato-chili,0.96302074
http://shine.yahoo.com/channel/beauty/would-you-ever-let-your-guy-pick-out-your-clothes-i-did-for-a-week-2482587,0.013914413
